2018-03-22 21:46:03.957 Client IP: 127.0.0.1    request is    www.cnn.com. IN A  151.101.1.67
2018-03-22 21:46:04.001 Client IP: 127.0.0.1    request is    www.cnn.com. IN AAAA  2a04:4e42::323
2018-03-22 21:46:04.223 Client IP: 127.0.0.1    request is    www.i.cdn.cnn.com. IN A  172.30.30.30
2018-03-22 21:46:04.295 Client IP: 127.0.0.1    request is    cdn.optimizely.com. IN A  23.50.77.225
2018-03-22 21:46:04.369 Client IP: 127.0.0.1    request is    cdn.cnn.com. IN A  69.192.17.18
2018-03-22 21:46:04.407 Client IP: 127.0.0.1    request is    cdn.cnn.com. IN AAAA  2600:141b:2000:2a1::3134
2018-03-22 21:46:04.467 Client IP: 127.0.0.1    request is    native.sharethrough.com. IN A  52.84.35.204
2018-03-22 21:46:04.512 Client IP: 127.0.0.1    request is    static.chartbeat.com. IN A  151.101.2.202
2018-03-22 21:46:04.550 Client IP: 127.0.0.1    request is    static.chartbeat.com. IN AAAA  2a04:4e42::714
2018-03-22 21:46:04.568 Client IP: 127.0.0.1    request is    ocsp.comodoca.com. IN A  10.10.10.10
2018-03-22 21:46:42.852 Client IP: 127.0.0.1    request is    safebrowsing.google.com. IN A  172.217.10.110
2018-03-22 21:46:42.886 Client IP: 127.0.0.1    request is    safebrowsing.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:42.975 Client IP: 127.0.0.1    request is    clients1.google.com. IN A  172.217.10.110
2018-03-22 21:46:43.055 Client IP: 127.0.0.1    request is    clients1.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:43.420 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:43.453 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:43.508 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:43.536 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:43.576 Client IP: 127.0.0.1    request is    ocsp.pki.goog. IN A  172.217.10.110
2018-03-22 21:46:43.613 Client IP: 127.0.0.1    request is    ocsp.pki.goog. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:43.664 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:43.710 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:43.742 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
