19:04:35.631986 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:37.132259 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:38.630191 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:43.614957 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:04:43.615679 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:04:43.818733 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:44.819908 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:45.819838 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:47.822741 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:48.822687 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:49.821206 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:51.451683 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:51.822887 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:52.610048 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:52.820835 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:53.449673 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:53.821012 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:54.451687 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:55.616086 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.449986 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.825850 IP 192.168.184.131.58477 > 192.168.184.132.imaps: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.825864 IP 192.168.184.131.58477 > 192.168.184.132.mysql: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.825867 IP 192.168.184.131.58477 > 192.168.184.132.1720: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.825909 IP 192.168.184.131.58477 > 192.168.184.132.256: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.825914 IP 192.168.184.131.58477 > 192.168.184.132.sunrpc: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.825943 IP 192.168.184.131.58477 > 192.168.184.132.rtsp: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.825992 IP 192.168.184.131.58477 > 192.168.184.132.ftp: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.826023 IP 192.168.184.131.58477 > 192.168.184.132.5900: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.826050 IP 192.168.184.131.58477 > 192.168.184.132.submission: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.826293 IP 192.168.184.131.58477 > 192.168.184.132.http-alt: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:56.826453 IP 192.168.184.132.imaps > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826498 IP 192.168.184.132.http-alt > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826539 IP 192.168.184.132.mysql > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826622 IP 192.168.184.132.1720 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826666 IP 192.168.184.132.256 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826749 IP 192.168.184.132.sunrpc > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826753 IP 192.168.184.132.rtsp > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826822 IP 192.168.184.132.ftp > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826893 IP 192.168.184.132.5900 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:56.826898 IP 192.168.184.132.submission > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.450289 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:57.930683 IP 192.168.184.131.58478 > 192.168.184.132.http-alt: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930806 IP 192.168.184.131.58478 > 192.168.184.132.submission: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930836 IP 192.168.184.131.58478 > 192.168.184.132.5900: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930853 IP 192.168.184.131.58478 > 192.168.184.132.ftp: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930881 IP 192.168.184.131.58478 > 192.168.184.132.rtsp: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930908 IP 192.168.184.131.58478 > 192.168.184.132.sunrpc: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930925 IP 192.168.184.131.58478 > 192.168.184.132.256: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930952 IP 192.168.184.131.58478 > 192.168.184.132.1720: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930979 IP 192.168.184.131.58478 > 192.168.184.132.mysql: Flags [S], seq 4278234371, win 1024, options [mss 1460], length 0
19:04:57.930996 IP 192.168.184.131.58477 > 192.168.184.132.domain: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931023 IP 192.168.184.131.58477 > 192.168.184.132.microsoft-ds: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931052 IP 192.168.184.131.58477 > 192.168.184.132.netbios-ssn: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931069 IP 192.168.184.131.58477 > 192.168.184.132.8888: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931096 IP 192.168.184.131.58477 > 192.168.184.132.pop3: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931126 IP 192.168.184.131.58477 > 192.168.184.132.ssh: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931143 IP 192.168.184.131.58477 > 192.168.184.132.http: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931175 IP 192.168.184.131.58477 > 192.168.184.132.1723: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931204 IP 192.168.184.131.58477 > 192.168.184.132.loc-srv: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931231 IP 192.168.184.131.58477 > 192.168.184.132.auth: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931277 IP 192.168.184.132.http-alt > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931317 IP 192.168.184.132.submission > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931346 IP 192.168.184.132.5900 > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931363 IP 192.168.184.132.ftp > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931390 IP 192.168.184.132.rtsp > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931406 IP 192.168.184.132.sunrpc > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931432 IP 192.168.184.132.256 > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931460 IP 192.168.184.132.1720 > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931476 IP 192.168.184.132.mysql > 192.168.184.131.58478: Flags [R.], seq 0, ack 4278234372, win 0, length 0
19:04:57.931492 IP 192.168.184.132.domain > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931520 IP 192.168.184.131.58477 > 192.168.184.132.smux: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931542 IP 192.168.184.131.58477 > 192.168.184.132.telnet: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.931569 IP 192.168.184.132.microsoft-ds > 192.168.184.131.58477: Flags [S.], seq 2132786763, ack 4278299907, win 17520, options [mss 1460], length 0
19:04:57.931618 IP 192.168.184.132.netbios-ssn > 192.168.184.131.58477: Flags [S.], seq 2132826644, ack 4278299907, win 17520, options [mss 1460], length 0
19:04:57.931647 IP 192.168.184.132.8888 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931678 IP 192.168.184.132.pop3 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931718 IP 192.168.184.131.58477 > 192.168.184.132.microsoft-ds: Flags [R], seq 4278299907, win 0, length 0
19:04:57.931748 IP 192.168.184.131.58477 > 192.168.184.132.netbios-ssn: Flags [R], seq 4278299907, win 0, length 0
19:04:57.931775 IP 192.168.184.132.ssh > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931843 IP 192.168.184.132.http > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931860 IP 192.168.184.132.1723 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931886 IP 192.168.184.132.loc-srv > 192.168.184.131.58477: Flags [S.], seq 2132882316, ack 4278299907, win 17520, options [mss 1460], length 0
19:04:57.931903 IP 192.168.184.132.auth > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931949 IP 192.168.184.132.smux > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.931980 IP 192.168.184.132.telnet > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.932007 IP 192.168.184.131.58477 > 192.168.184.132.loc-srv: Flags [R], seq 4278299907, win 0, length 0
19:04:57.934472 IP 192.168.184.131.58477 > 192.168.184.132.smtp: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934607 IP 192.168.184.131.58477 > 192.168.184.132.1025: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934642 IP 192.168.184.131.58477 > 192.168.184.132.3389: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934660 IP 192.168.184.131.58477 > 192.168.184.132.pop3s: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934692 IP 192.168.184.131.58477 > 192.168.184.132.https: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934723 IP 192.168.184.131.58477 > 192.168.184.132.imap2: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934740 IP 192.168.184.131.58477 > 192.168.184.132.1055: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934767 IP 192.168.184.131.58477 > 192.168.184.132.9200: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934796 IP 192.168.184.131.58477 > 192.168.184.132.5730: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934813 IP 192.168.184.131.58477 > 192.168.184.132.2043: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934839 IP 192.168.184.131.58477 > 192.168.184.132.31038: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934866 IP 192.168.184.131.58477 > 192.168.184.132.echo: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.934930 IP 192.168.184.132.smtp > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.934971 IP 192.168.184.132.1025 > 192.168.184.131.58477: Flags [S.], seq 2132915761, ack 4278299907, win 17520, options [mss 1460], length 0
19:04:57.935000 IP 192.168.184.132.3389 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935029 IP 192.168.184.132.pop3s > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935066 IP 192.168.184.132.https > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935092 IP 192.168.184.132.imap2 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935109 IP 192.168.184.132.1055 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935135 IP 192.168.184.132.9200 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935162 IP 192.168.184.132.5730 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935189 IP 192.168.184.132.2043 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:04:57.935219 IP 192.168.184.131.58477 > 192.168.184.132.3784: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935237 IP 192.168.184.131.58477 > 192.168.184.132.1216: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935267 IP 192.168.184.131.58477 > 192.168.184.132.9002: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935295 IP 192.168.184.131.58477 > 192.168.184.132.49152: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935315 IP 192.168.184.131.58477 > 192.168.184.132.1025: Flags [R], seq 4278299907, win 0, length 0
19:04:57.935342 IP 192.168.184.131.58477 > 192.168.184.132.login: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935369 IP 192.168.184.131.58477 > 192.168.184.132.6779: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935386 IP 192.168.184.131.58477 > 192.168.184.132.5718: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935412 IP 192.168.184.131.58477 > 192.168.184.132.1165: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935441 IP 192.168.184.131.58477 > 192.168.184.132.bpcd: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935458 IP 192.168.184.131.58477 > 192.168.184.132.1071: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935485 IP 192.168.184.131.58477 > 192.168.184.132.900: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935515 IP 192.168.184.131.58477 > 192.168.184.132.2006: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935542 IP 192.168.184.131.58477 > 192.168.184.132.211: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:04:57.935586 IP 192.168.184.132.31038 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
